%LABEL CD_BIN_90403
%TYPE CONDIST
!
!JULY CONDIST
!------------------------------------------------------------------------------------------------------------------
!PRODUCT NAME UPI INST VERSION KIT CH DIS ROOT SAVESET(S)
!
"AAF01/VMS SUBROUTINE LIBRARY" GEFR Y V2.0 SUB1 A Y AAF01020 AAF01020
"ADF01/VMS SUBROUTINE LIBRARY" 375 Y V4.0 SUB1 A Y ADF01040 ADF01040
"DEC GKS FOR VMS" 810A Y V4.0 SUB N Y DECGKS040 DECGKS040,DECGKSRTO040
"DEC GKS-3D FOR VMS" VFXE Y V1.0 SUB1 N Y DECGKS3D010 DECGKS3D010,DECGKS3DRT
"DECFORMS" VCH Y V1.0 SUB N Y FORMS010 FORMS010,FORMSTR010
"DECNET-VAX" **** N V5.1 SUB A Y NETVAX051 NO_BINARIES
"DECNET/SNA DATA TRANSFER FACILITY" VEBA Y V2.0 SUB1 A Y SNADTF020 SNADTFS020,SNADTFU020
"DECNET/SNA GATEWAY FOR CHANNEL TRANSPORT" VC9 Y V1.0 SUB2 A Y SNACSA010 SNACSA010
"DECNET/SNA GATEWAY FOR SYNCHRONOUS TRANSPORT" S01A Y V1.0 SUB2 A Y SNACST010 SNACST010
"DECNET/SNA VMS 3270 DATA STREAM PROGRAMMING INTERFACE" **** Y V1.4 SUB N Y SNA3270014 SNA3270014
"DECNET/SNA VMS 3270 TERMINAL EMULATOR" 454A Y V1.5 SUB N Y SNATE015 SNATE015
"DECNET/SNA VMS APPC/LU6.2 PROGRAMMING INTERFACE" 022A Y V2.1 SUB A Y SNALU62021 SNALU62021
"DECNET/SNA VMS APPLICATION PROGRAMMING INTERFACE" 455A Y V2.3 SUB N Y SNALU0023 SNALU0023
"DECNET/SNA VMS DISOSS DOCUMENT EXCHANGE FACILITY" 042A Y V1.4 SUB1 A Y SNADDXF014 SNADDXF014
"DECNET/SNA VMS DISTRIBUTED HOST COMMAND FACILITY" 043A Y V1.2 SUB N Y SNADHCF012 SNADHCF012
"DECNET/SNA VMS GATEWAY MANAGEMENT" 452A Y V2.0 SUB2 A Y SNAGM020 SNAGM020
"DECROUTER 2000" S03 Y V1.1 SUB1 A Y ROU011 ROU011
"DECSERVER 200 FOR VAX/VMS AND MICROVMS" Z06A Y V2.0 SUB A Y DS2020 DS2020
"DECSERVER 500/VMS" Z46 Y V1.1 SUB1 A Y DS5011 DS5011
"DECVOICE SOFTWARE" VFU Y V1.0 SUB A Y VOX010 VOX010
"DRX11-C/VMS DRIVER" S36 Y V6.0 SUB1 A Y DRX11C060 DRX11C060
"EXTERNAL DOCUMENT EXCHANGE WITH IBM DISOSS" **** Y V2.1 SUB1 N Y EDEDIS021 EDEDIS021
"IEX-VMS-DRIVER" 519A Y V4.0 SUB1 A Y IEX040 IEX040
"IXV/VAXELN DRIVER" VG3A Y V2.0 SUB A Y IXVELN020 IXVELN020
"IXV11/VMS DRIVER" VHZA Y V2.0 SUB A Y IXV11020 IXV11020
"KMV1A MICROVAX DRIVER AND X.25 LINK LEVEL SOFTWARE" VCQA Y V2.0 SUB A Y UWX25020 UWX25020
"KMV1A MICROVAX DRIVER" VCPA Y V2.0 SUB A Y UWDRV020 UWDRV020
"MICROVAX MIRA SWITCH CONTROL" **** Y V2.1 SUB N Y MRA021 MRA021
"MICROVAX/DRQ3B DEVICE DRIVER" 0APA Y V1.2 SUB A Y HX012 HX012
"MUXSERVER 100 REMOTE TERMINAL SERVER" VE4A Y V2.2 SUB2 A Y MSVAENG022 MSVAENG022
"PBXSERVER" **** Y V2.0 SUB A Y PBXSERVER020 PBXSERVER020
"REMOTE SYSTEM MANAGER SERVER VMS" B13 Y V2.1 SUB A Y RSMSRV021 RSMSRV021
"VAX 2780/3780 PROTOCOL EMULATOR" 111A Y V1.7 SUB A Y BSCPTP017 BSCPTP017
"VAX ACMS" 079A Y V3.0A SUB1 A Y ACMSDEV030 ACMSDEV030,ACMSRTO030,ACMSREM030
"VAX ADA" 056A Y V2.0 SUB N Y ADA020 ADA020,ADAHLP020
"VAX BASIC" 095A Y V3.3 SUB A Y BASIC033 BASIC033
"VAX BLISS-32 IMPLEMENTATION LANGUAGE" 106A Y V4.5 SUB A Y BLS32045 BLS32045
"VAX C" 015A Y V3.0 SUB N Y VAXC030 VAXC030
"VAX CDD/PLUS" 897A Y V4.1 SUB N Y CDD041 CDD041
"VAX COBOL GENERATOR" 365A Y V1.3 SUB A Y GEN013 GEN013
"VAX COBOL" 099A Y V4.2A SUB2 A Y COBOL042 COBOL042
"VAX COBOL/JAPANESE" **** Y V4.2 SUB1 N Y JCOBOL042 JCOBOL042
"VAX COPROCESSOR/RSX" **** Y V1.0 SUB N Y CPRSX010 CPRSX010
"VAX DATATRIEVE" 898A Y V4.2 SUB A Y DTR042 DTR042
"VAX DATATRIEVE/JAPANESE" 898J Y V4.2 SUB A Y JDTR042 JDTR042
"VAX DBMS" 915A Y V4.0 SUB A Y DBMS040 DBMDEV040,DBMRTO040
"VAX DEC/CMS" 007A Y V3.2 SUB N Y CMS032 CMS032
