%DISC_PRODUCT_NAME1 VMS Consolidated
%DISC_PRODUCT_NAME2 Software Distribution
%KIT_PART_NUMBER QA-VWJ8A-A8. N01
%SPINE_PART_NUMBER AV-MN37N-RE
!
%DISC_PART_NUMBER AG-MN36S-RE,AG-PASML-RE,AG-PCXXF-RE,AG-PFXCC-RE
%DFARS Y
!
%LABEL CDBIN01MAY11,CDBIN01MAY12,CDBIN01MAY13,CDBIN01MAY14
%TYPE CONDIST
%RELEASE_DATE May 1991
%TOC_PART_NUMBER AA-MN64E-RE
!
!
!Consoliation Processing Directives
!
!Directive Class                 Format             Target_dir    File_name_suffix
!
%FILE      SAVESET               BINARY             [.KIT]        *
%FILE      SPD                   TEXT               [.LINE_DOCS]  _SPD
%FILE      SPD                   POSTSCRIPT         [.POST_DOCS]  _SPD
%FILE      SSA                   TEXT               [.LINE_DOCS]  _SSA
%FILE      SSA                   POSTSCRIPT         [.POST_DOCS]  _SSA
%FILE      INSTALLATION_GUIDE    TEXT               [.LINE_DOCS]  _IGUIDE
%FILE      INSTALLATION_GUIDE    POSTSCRIPT         [.POST_DOCS]  _IGUIDE
%FILE      COVER_LETTER          TEXT               [.LINE_DOCS]  _COVER
%FILE      COVER_LETTER          POSTSCRIPT         [.POST_DOCS]  _COVER
!
%EXCEPTION EXCEPTIONS_FILE
%CONTIGUOUS NO
%ADD_SAVESET CDROM$UTILITY:CDMENU.BCK [CDROM]
%ADD_SAVESET CDROM$UTILITY:MAY1991_CONDIST_NOTES.BCK [CDROM]
!
%END_OF_DATA
!
!Product Name                                                      UPI  Ver     Kit  St In Ex No  Root            Disc
!--------------------------------------------------------------------------------------------------------------------------------
"3270 TERMINAL OPTION SOFTWARE"                                   VV9AA  1.1    SSB   A  Y  N  N  CXM011         2
"AAF01/VMS SUBROUTINE LIBRARY"                                    EFRAA  2.0    SSB   A  Y  N  N  AAF01020       2
"ADF01/VMS SUBROUTINE LIBRARY"                                    735AA  4.0    SSB   A  Y  N  N  ADF01040       2
"ALL-IN-1 MAIL"                                                   YCZAA  1.0    SSB   A  Y  N  N  A1MAIL010      1
"ALL-IN-1 MAIL/DEUTSCH"                                           VZ7GA  1.0    SSB   A  Y  N  N  A1MAILDE010    3
"ALL-IN-1 MAIL/DEUTSCH"                                           YFTGA  1.0    SSB   A  Y  N  N  A1MAILDE010    3
"ALL-IN-1 MAIL/DEUTSCH"                                           YFUGA  1.0    SSB   A  Y  N  N  A1MAILDE010    3
"ALL-IN-1 MAIL/FRANCAIS"                                          VZ7PA  1.0    SSB   A  Y  N  N  A1MAILFR010    3
"ALL-IN-1 MAIL/ITALIANO"                                          VZ7UA  1.0    SSB   A  Y  N  N  A1MAILIT010    3
"ALL-IN-1 PC SERVER FOR VMS"                                      YFFAA  1.0    SSB   A  Y  N  N  A1SVC010       1
"ALL-IN-1 SERVICES FOR DECWINDOWS"                                YG4AA  1.0    SSB   A  Y  N  N  ASD010         1
"ALL-IN-1"                                                        AAAAA  2.4    SSB   U  Y  Y  Y  A1ENGLISH024   1
"ALL-IN-1 STARTER"                                                VNNAA  2.4    SSB   A  Y  Y  N  ASENGLISH024   1
"BASESTAR FOR VMS (Development)"                                  YU9AA  3.0    SSB   N  Y  Y  N  BCC030         2
"BASESTAR FOR VMS (Runtime)"                                      YUAAA  3.0    SSB   N  Y  Y  N  BCCLIB030      2
"CDA CONVERTER LIBRARY FOR VMS"                                   VZAAA  1.0    SSB   A  Y  N  N  CDACVTLIB010   1
"CDA CONVERTER LIBRARY FOR VMS"                                   VZAAA  1.1    SSB   A  Y  N  N  CDACVTLIB011   1
"DEC COMPUTER INTEGRATED TELEPHONY APPLIC. INTERFACE FOR VMS"     VGXAA  2.1    SSB   A  Y  N  N  CIT021         2
"DEC COMPUTER INTEGRATED TELEPHONY SERVER FOR VMS"                VGYAA  2.1    SSB   A  Y  N  N  CITSR021       2
"DEC GKS FOR VMS"                                                 810AA  4.1    SSB   A  Y  N  N  DECGKS041      4
"DEC GKS FOR VMS (Runtime)"                                       811AA  4.1    SSB   A  Y  N  N  DECGKSRTO041   4
"DEC GKS-3D FOR VMS"                                              VFXEA  1.1    SSB   A  Y  N  N  DECGKS3D011    4
