%DISC_PRODUCT_NAME1 OpenVMS VAX 
%DISC_PRODUCT_NAME2 Software Layered
!DISC_PRODUCT_NAME3 Product Library
!
%KIT_PART_NUMBER QA-VWJ8A-W8. BA01
%SPINE_PART_NUMBER AV-R3UME-TE
%TOC_PART_NUMBER AV-PZQAY-RE
!
%DISC_PART_NUMBER AG-RA5EA-RE,AG-Q6PAT-XE,AG-QAN5R-XE,AG-QRAZK-XE,AG-QWUYH-XE,AG-R3UKE-XE,AG-R3ULE-RE,AG-R715C-XE,AG-R716B-XE,AG-PYFUZ-XE
!
%DFARS Y
!
%INIT_DISK
!
%LABEL VAXBINMAR981,VAXBINMAR982,VAXBINMAR983,VAXBINMAR984,VAXBINMAR985,VAXBINMAR986,VAXBINMAR987,VAXBINMAR988,VAXBINMAR989,VAXBINMAR980,VAXBINMAR98A
!
%TYPE CONDIST
%TITLE_PLATFORM OpenVMS VAX
%RELEASE_DATE March 1998
%LAST_PUBLISH 18-NOV-1997
%DCF_STATUS FINAL
!
!
!Consolidation Processing Directives
!
!Directive Class                 Format             Target_dir          File_name_suffix
!
%FILE      SAVESET               BINARY             [.KIT]              *
%FILE      PCSI_FILE             BINARY             [.KIT]              *
!%FILE      ZIPSET                BINARY             [.KIT]              *
%FILE      SPD                   TEXT               [.DOCUMENTATION]    _SPD
%FILE      SPD                   POST               [.DOCUMENTATION]    _SPD
%FILE      SSA                   TEXT               [.DOCUMENTATION]    _SSA
%FILE      SSA                   POST               [.DOCUMENTATION]    _SSA
%FILE      INSTALLATION_GUIDE    TEXT               [.DOCUMENTATION]    _IGUIDE
%FILE      INSTALLATION_GUIDE    POST               [.DOCUMENTATION]    _IGUIDE
%FILE      COVER_LETTER          TEXT               [.DOCUMENTATION]    _COVER
%FILE      COVER_LETTER          POST               [.DOCUMENTATION]    _COVER
!
%EXCEPTION EXCEPTIONS_FILE BINARY
%CONTIGUOUS NO
!
%ADD_SAVESET SEAS$LIBRARY_DISK_18:[4873600.9320700.5431100.0]CDMENU020_VMSVAX.BCK [CDROM] VWJ8A 1.0 0003 SAVESET BINARY
!
%END_OF_DATA
!
!Product Name                                                            UPI   Ver   Kit   St In Ex No  Root            Disc
!--------------------------------------------------------------------------------------------------------------------------------
"3270 Terminal Option Software"                                         VV9AA  1.1   SSB  NCH  Y  N  N  CXM011           4
"ACMS Desktop/Japanese for OpenVMS"                                     GZGJA  2.3   SSB  NCH  Y  N  N  ACMSDIJA023      9
"ACMS/Japanese for OpenVMS"                                             079JA  4.1   SSB  NCH  N  N  N  ACMSJA041       10
"ALL-IN-1 DESKtop Server for VMS"                                       YFFAA  1.2   SSB  NCH  Y  N  N  A1SVC012         1
"ALL-IN-1 Office Server Options for OpenVMS Alpha and OpenVMS VAX"      AAAAA  3.2   SSB  NCH  Y  N  N  A1032            1
"ALL-IN-1 OSO TeamLinks Connection for OpenVMS Alpha and OpenVMS VAX"   AAAAT  2.5   SSB  NCH  Y  N  N  TLC025           1
"ALL-IN-1 OSO TeamLinks Connection/Japanese for OVMS Alpha and VAX"     5CTJA  2.5   SSB  NCH  Y  N  N  TLCJA025         9
"ALL-IN-1 Mail/Dansk for VMS"                                           VZ7DA  1.1   SSB  NCH  Y  N  N  A1MAILDA011      6
"ALL-IN-1 Mail/Deutsch for VMS"                                         VZ7GA  1.1   SSB  NCH  Y  N  N  A1MAILDE011      6
"ALL-IN-1 Mail/Español for VMS"                                         VZ7SA  1.1   SSB  NCH  Y  N  N  A1MAILES011      6
"ALL-IN-1 Mail/Français for VMS"                                        VZ7PA  1.1   SSB  NCH  Y  N  N  A1MAILFR011      6
"ALL-IN-1 Mail/Italiano for VMS"                                        VZ7UA  1.1   SSB  NCH  Y  N  N  A1MAILIT011      6
"ALL-IN-1 Mail/Nederlands for VMS"                                      VZ7HA  1.1   SSB  NCH  Y  N  N  A1MAILNL011      6
"ALL-IN-1 Mail/Svenska for VMS"                                         VZ7MA  1.1   SSB  NCH  Y  N  N  A1MAILSV011      6
"ALL-IN-1 Personal Assistant"                                           MDXAA  1.1   SSB  NCH  Y  N  N  A1PA011          1
"ALL-IN-1 Web Interface for OpenVMS Alpha and OpenVMS VAX"              50CAC  1.0   SSB  NCH  Y  N  N  AWI010           1
"ALL-IN-1/Dansk Office Server Options for OpenVMS AXP and OpenVMS VAX"  AAADA  3.2   SSB  NCH  N  N  N  A1LDA032         8
