%DISC_PRODUCT_NAME1 VMS Consolidated
%DISC_PRODUCT_NAME2 Software Distribution 
%KIT_PART_NUMBER QA-VWJ8A-A8. S01
%SPINE_PART_NUMBER AV-MN37V-RE
!
%DISC_PART_NUMBER AG-MN36V-RE,AG-PASMP-RE,AG-PCXXK-RE,AG-PFXCF-RE,AG-PJ4YB-RE
%DFARS Y
!
%LABEL CDBIN06NOV11,CDBIN06NOV12,CDBIN06NOV13,CDBIN06NOV14,CDBIN06NOV15
%TYPE CONDIST
%RELEASE_DATE November 1991
%TOC_PART_NUMBER AA-MN64J-RE
!
!
!Consolidation Processing Directives
!
!Directive Class                 Format             Target_dir    File_name_suffix
!
%FILE      SAVESET               BINARY             [.KIT]        *
%FILE      SPD                   TEXT               [.LINE_DOCS]  _SPD
%FILE      SPD                   POST               [.POST_DOCS]  _SPD
%FILE      SSA                   TEXT               [.LINE_DOCS]  _SSA
%FILE      SSA                   POST               [.POST_DOCS]  _SSA
%FILE      INSTALLATION_GUIDE    TEXT               [.LINE_DOCS]  _IGUIDE
%FILE      INSTALLATION_GUIDE    POST               [.POST_DOCS]  _IGUIDE
%FILE      COVER_LETTER          TEXT               [.LINE_DOCS]  _COVER
%FILE      COVER_LETTER          POST               [.POST_DOCS]  _COVER
!
%EXCEPTION EXCEPTIONS_FILE
%CONTIGUOUS NO
%ADD_SAVESET CDROM$UTILITY:CDMENU.BCK [CDROM]
%ADD_SAVESET CDROM$UTILITY:NOVEMBER1991_CONDIST_NOTES.BCK [CDROM]
!
%END_OF_DATA
!
!Product Name                                                      UPI  Ver     Kit  St In Ex No  Root            Disc
!--------------------------------------------------------------------------------------------------------------------------------
"3270 TERMINAL OPTION SOFTWARE"                                   VV9AA  1.1    SSB   A  Y  N  N  CXM011         2
"AAF01/VMS SUBROUTINE LIBRARY"                                    EFRAA  2.0    SSB   A  Y  N  N  AAF01020       2
"ADF01/VMS SUBROUTINE LIBRARY"                                    735AA  4.0    SSB   A  Y  N  N  ADF01040       2
"ALL-IN-1 MAIL"                                                   YCZAA  1.0    SSB   A  Y  N  N  A1MAIL010      1
"ALL-IN-1 MAIL/DEUTSCH"                                           VZ7GA  1.0    SSB   A  Y  N  N  A1MAILDE010    4
"ALL-IN-1 MAIL/DEUTSCH"                                           YFTGA  1.0    SSB   A  Y  N  N  A1MAILDE010    4
"ALL-IN-1 MAIL/DEUTSCH"                                           YFUGA  1.0    SSB   A  Y  N  N  A1MAILDE010    4
"ALL-IN-1 MAIL/FRANCAIS"                                          VZ7PA  1.0    SSB   A  Y  N  N  A1MAILFR010    4
"ALL-IN-1 MAIL/ITALIANO"                                          VZ7UA  1.0    SSB   A  Y  N  N  A1MAILIT010    4
"ALL-IN-1 PC SERVER FOR VMS"                                      YFFAA  1.0    SSB   A  Y  N  N  A1SVC010       1
"ALL-IN-1 SERVICES FOR DECWINDOWS"                                YG4AA  1.0    SSB   A  Y  N  Y  ASD010         1
"ALL-IN-1"                                                        AAAAA  2.4    SSB   U  Y  Y  Y  A1ENGLISH024   1
"ALL-IN-1 STARTER"                                                VNNAA  2.4    SSB   A  Y  Y  N  ASENGLISH024   1
"BASESTAR FOR VMS (Development)"                                  YU9AA  3.0    SSB   A  Y  N  N  BCC030         3
"BASESTAR FOR VMS (Runtime)"                                      YUAAA  3.0    SSB   A  Y  N  N  BCCLIB030      3
"CDA CONVERTER LIBRARY FOR VMS"                                   VZAAA  1.0    SSB   A  Y  N  N  CDACVTLIB010   1
"CDA CONVERTER LIBRARY FOR VMS"                                   VZAAA  1.1    SSB   A  Y  N  N  CDACVTLIB011   1
"DEC APPLICATION CONTROL ARCHITECTURE"                            XKAAA  2.0    SSB   N  Y  N  N  ACASDEV020     3
"DEC COMMSERVER FOR VMS"                                          GCQAA  1.0    SSB   N  Y  N  N  COMMSERVER010  2
"DEC COMPUTER INTEGRATED TELEPHONY APPLIC. INTERFACE FOR VMS"     VGXAA  3.0    SSB   U  Y  N  N  CIT030         2
"DEC COMPUTER INTEGRATED TELEPHONY SERVER FOR VMS"                VGYAA  3.0    SSB   U  Y  N  N  CITSR030       2
"DEC GKS FOR VMS"                                                 810AA  4.1    SSB   A  Y  N  N  DECGKS041      3
