%DISC_PRODUCT_NAME1 VMS Consolidated
%DISC_PRODUCT_NAME2 Software Distribution
%KIT_PART_NUMBER QA-VWJ8A-A8. V01
%SPINE_PART_NUMBER AV-MN37Z-RE
!
%DISC_PART_NUMBER AG-MN36Z-RE,AG-PASMT-RE,AG-PCXXN-RE,AG-PFXCK-RE,AG-PJ4YE-RE,AG-PNTPB-RE
%DFARS Y
!
%LABEL CDBIN06MAY21,CDBIN06MAY22,CDBIN06MAY23,CDBIN06MAY24,CDBIN06MAY25,CDBIN06MAY26
%TYPE CONDIST
%RELEASE_DATE May 1992
%TOC_PART_NUMBER AA-MN64M-RE
!
!
!Consolidation Processing Directives
!
!Directive Class                 Format             Target_dir    File_name_suffix
!
%FILE      SAVESET               BINARY             [.KIT]        *
%FILE      SPD                   TEXT               [.LINE_DOCS]  _SPD
%FILE      SPD                   POST               [.POST_DOCS]  _SPD
%FILE      SSA                   TEXT               [.LINE_DOCS]  _SSA
%FILE      SSA                   POST               [.POST_DOCS]  _SSA
%FILE      INSTALLATION_GUIDE    TEXT               [.LINE_DOCS]  _IGUIDE
%FILE      INSTALLATION_GUIDE    POST               [.POST_DOCS]  _IGUIDE
%FILE      COVER_LETTER          TEXT               [.LINE_DOCS]  _COVER
%FILE      COVER_LETTER          POST               [.POST_DOCS]  _COVER
!
%EXCEPTION EXCEPTIONS_FILE BINARY
%CONTIGUOUS NO
%ADD_SAVESET CDMENU.BCK;3 [CDROM] VWJ8A 1.0 0003 SAVESET BINARY
!
%END_OF_DATA
!
!Product Name                                                      UPI  Ver     Kit  St In Ex No  Root            Disc
!--------------------------------------------------------------------------------------------------------------------------------
"3270 TERMINAL OPTION SOFTWARE"                                   VV9AA  1.1    SSB   A  Y  N  N  CXM011          2
"AAF01/VMS SUBROUTINE LIBRARY"                                    EFRAA  2.0    SSB   A  Y  N  N  AAF01020        2
"ADF01/VMS SUBROUTINE LIBRARY"                                    735AA  4.0    SSB   A  Y  N  N  ADF01040        2
"ALL-IN-1 DESKTOP SERVER FOR VMS"                                 YFFAA  1.1    SSB   A  Y  N  Y  A1SVC011        1
"ALL-IN-1 INTEGRATED OFFICE SYSTEM SERVER FOR VMS"                AAAAA  3.0    SSB   U  Y  N  N  A1030           1
"ALL-IN-1/BRITISH INTEGRATED OFFICE SYSTEM SERVER FOR VMS"        AAAEA  3.0    SSB   N  N  N  Y  A1030_BRITISH   1
"ALL-IN-1 MAIL (Server for VMS)"                                  YCZAA  1.0    SSB   A  Y  N  N  A1MAIL010       1
"ALL-IN-1 MAIL/DEUTSCH"                                           VZ7GA  1.0    SSB   A  Y  N  N  A1MAILDE010     4
"ALL-IN-1 MAIL/DEUTSCH"                                           YFTGA  1.0    SSB   A  Y  N  N  A1MAILDE010     4
"ALL-IN-1 MAIL/DEUTSCH"                                           YFUGA  1.0    SSB   A  Y  N  N  A1MAILDE010     4
"ALL-IN-1 MAIL/FRANCAIS"                                          VZ7PA  1.0    SSB   A  Y  N  N  A1MAILFR010     4
"ALL-IN-1 MAIL/ITALIANO"                                          VZ7UA  1.0    SSB   A  Y  N  N  A1MAILIT010     4
"ALL-IN-1 SERVICES FOR DECWINDOWS"                                YG4AA  1.0A   SSB   A  Y  N  N  ASD010          1
"ALL-IN-1 STARTER"                                                VNNAA  2.4    SSB   A  Y  Y  N  ASENGLISH024    1
"BASESTAR CIMFAST FOR VMS (Development)"                          XDBAA  1.0    SSB   A  Y  N  N  BCF010          3
"BASESTAR CIMFAST FOR VMS (Runtime)"                              XDCAA  1.0    SSB   A  Y  N  N  BCF010          3
"BASESTAR FOR VMS (Development)"                                  YU9AA  3.1    SSB   A  Y  N  N  BCC031          3
"BASESTAR FOR VMS (Runtime)"                                      YUAAA  3.1    SSB   A  Y  N  N  BCC031          3
"CDA CONVERTER LIBRARY FOR VMS"                                   VZAAA  1.0    SSB   A  Y  N  N  CDACVTLIB010    1
"CDA CONVERTER LIBRARY FOR VMS"                                   VZAAA  1.1    SSB   A  Y  N  N  CDACVTLIB011    1
"CDD/ADMINISTRATOR FOR VMS"                                       YP8AA  1.0    SSB   A  Y  N  N  CDDT010         2
"CDD/REPOSITORY FOR VMS"                                          897AA  5.0    SSB   A  Y  N  Y  CDD050          2
