%DISC_PRODUCT_NAME1 VMS Consolidated
%DISC_PRODUCT_NAME2 Software Distribution
%KIT_PART_NUMBER QA-VWJ8A-A8. Y01
%SPINE_PART_NUMBER AV-PR58C-RE
!
%DISC_PART_NUMBER AG-PASMW-RE,AG-PCXXR-RE,AG-PFXCN-RE,AG-PJ4YH-RE,AG-PNTPE-RE,AG-PR57C-RE,AG-PRSZC-RE,AG-PUKLA-RE,AG-PUKMA-RE
%DFARS Y
!
%LABEL CDBIN10NOV21,CDBIN10NOV22,CDBIN10NOV23,CDBIN10NOV24,CDBIN10NOV25,CDBIN10NOV26,CDBIN10NOV27,CDBIN10NOV28,CDBIN10NOV29
%TYPE CONDIST
%RELEASE_DATE November 1992
%TOC_PART_NUMBER AA-MN64Q-RE
!
!
!Consolidation Processing Directives
!
!Directive Class                 Format             Target_dir    File_name_suffix
!
%FILE      SAVESET               BINARY             [.KIT]        *
%FILE      SPD                   TEXT               [.LINE_DOCS]  _SPD
%FILE      SPD                   POST               [.POST_DOCS]  _SPD
%FILE      SSA                   TEXT               [.LINE_DOCS]  _SSA
%FILE      SSA                   POST               [.POST_DOCS]  _SSA
%FILE      INSTALLATION_GUIDE    TEXT               [.LINE_DOCS]  _IGUIDE
%FILE      INSTALLATION_GUIDE    POST               [.POST_DOCS]  _IGUIDE
%FILE      COVER_LETTER          TEXT               [.LINE_DOCS]  _COVER
%FILE      COVER_LETTER          POST               [.POST_DOCS]  _COVER
!
%EXCEPTION EXCEPTIONS_FILE BINARY
%CONTIGUOUS NO
%ADD_SAVESET CDMENU.BCK;4 [CDROM] VWJ8A 1.0 0004 SAVESET BINARY
!
%END_OF_DATA
!
!Product Name                                                      UPI  Ver     Kit  St In Ex No  Root            Disc
!--------------------------------------------------------------------------------------------------------------------------------
"3270 TERMINAL OPTION SOFTWARE"                                   VV9AA  1.1    SSB   A  Y  N  N  CXM011          2
"AAF01/VMS SUBROUTINE LIBRARY"                                    EFRAA  2.0    SSB   A  Y  N  N  AAF01020        2
"ADF01/VMS SUBROUTINE LIBRARY"                                    735AA  4.0    SSB   A  Y  N  N  ADF01040        2
"ALL-IN-1 INTEGRATED OFFICE SYSTEM SERVER FOR VMS"                AAAAA  3.0    SSB   A  Y  N  N  A1030           9
"ALL-IN-1 DESKTOP SERVER FOR VMS"                                 YFFAA  1.1    SSB   A  Y  N  Y  A1SVC011        8
"ALL-IN-1 V2.4 PATCH"                                             AAAAA  2.4E   SSB   A  Y  N  N  A1024PAT022     9
"ALL-IN-1 V2.4 UPDATE"                                            AAAAB  2.4A   SSB   A  Y  N  N  A1024SUS020     9
"ALL-IN-1/BRITISH INTEGRATED OFFICE SYSTEM SERVER FOR VMS"        AAAEA  3.0    SSB   A  N  N  Y  A1030_BRITISH   9
"ALL-IN-1/DANSK INTEGRATED OFFICE SYSTEM SERVER FOR VMS"          AAADA  3.0    SSB   N  Y  N  N  A1LDA030        9
"ALL-IN-1/DEUTSCH INTEGRATED OFFICE SYSTEM SERVER FOR VMS"        AAAGA  3.0    SSB   N  Y  N  N  A1LDE030        9
"ALL-IN-1/ESPAÑOL INTEGRATED OFFICE SYSTEM SERVER FOR VMS"        AAASA  3.0    SSB   N  Y  N  N  A1LES030        9
"ALL-IN-1/FRANÇAIS INTEGRATED OFFICE SYSTEM SERVER FOR VMS"       AAAPA  3.0    SSB   N  Y  N  N  A1LFR030        9
"ALL-IN-1/ITALIANO INTEGRATED OFFICE SYSTEM SERVER FOR VMS"       AAAUA  3.0    SSB   N  Y  N  N  A1LIT030        9
"ALL-IN-1/JAPANESE INTEGRATED OFFICE SYSTEM SERVER FOR VMS"       AAAJA  3.0    SSB   N  Y  Y  N  A1BJV030        8
"ALL-IN-1/NEDERLANDS INTEGRATED OFFICE SYSTEM SERVER FOR VMS"     AAAHA  3.0    SSB   N  Y  N  N  A1LNL030        9
"ALL-IN-1/NORSK INTEGRATED OFFICE SYSTEM SERVER FOR VMS"          AAANA  3.0    SSB   N  Y  N  N  A1LNO030        9
"ALL-IN-1/PORTUGUES INTEGRATED OFFICE SYSTEM SERVER FOR VMS"      AAAVA  3.0    SSB   N  Y  N  N  A1LPT030        9
